date,amount,customer,account,number
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,68
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,69
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,70
11/4/2009,116.28,Boris Becker,Accounts Receivable,71
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,72
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,73
7/7/2009,119.78,Boris Becker,Accounts Receivable,74
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,75
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,76
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,77
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,78
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,79
11/4/2009,116.28,Boris Becker,Accounts Receivable,80
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,81
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,82
7/7/2009,119.78,Boris Becker,Accounts Receivable,83
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,84
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,85
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,86
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,87
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,88
11/4/2009,116.28,Boris Becker,Accounts Receivable,89
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,90
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,91
7/7/2009,119.78,Boris Becker,Accounts Receivable,92
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,93
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,94
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,95
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,96
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,97
11/4/2009,116.28,Boris Becker,Accounts Receivable,98
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,99
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,100
7/7/2009,119.78,Boris Becker,Accounts Receivable,101
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,102
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,103
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,104
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,105
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,106
11/4/2009,116.28,Boris Becker,Accounts Receivable,107
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,108
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,109
7/7/2009,119.78,Boris Becker,Accounts Receivable,110
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,111
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,112
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,113
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,114
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,115
11/4/2009,116.28,Boris Becker,Accounts Receivable,116
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,117
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,118
7/7/2009,119.78,Boris Becker,Accounts Receivable,119
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,120
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,121
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,122
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,123
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,124
11/4/2009,116.28,Boris Becker,Accounts Receivable,125
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,126
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,127
7/7/2009,119.78,Boris Becker,Accounts Receivable,128
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,129
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,130
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,131
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,132
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,133
11/4/2009,116.28,Boris Becker,Accounts Receivable,134
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,135
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,136
7/7/2009,119.78,Boris Becker,Accounts Receivable,137
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,138
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,139
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,140
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,141
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,142
11/4/2009,116.28,Boris Becker,Accounts Receivable,143
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,144
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,145
7/7/2009,119.78,Boris Becker,Accounts Receivable,146
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,147
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,148
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,149
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,150
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,151
11/4/2009,116.28,Boris Becker,Accounts Receivable,152
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,153
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,154
7/7/2009,119.78,Boris Becker,Accounts Receivable,155
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,156
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,157
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,158
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,159
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,160
11/4/2009,116.28,Boris Becker,Accounts Receivable,161
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,162
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,163
7/7/2009,119.78,Boris Becker,Accounts Receivable,164
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,165
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,166
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,167
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,168
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,169
11/4/2009,116.28,Boris Becker,Accounts Receivable,170
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,171
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,172
7/7/2009,119.78,Boris Becker,Accounts Receivable,173
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,174
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,175
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,176
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,177
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,178
11/4/2009,116.28,Boris Becker,Accounts Receivable,179
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,180
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,181
7/7/2009,119.78,Boris Becker,Accounts Receivable,182
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,183
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,184
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,185
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,186
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,187
11/4/2009,116.28,Boris Becker,Accounts Receivable,188
1/1/2009,115.48,Albert Albuqurque,Accounts Receivable,189
11/4/2009,116.28,Boris Becker,Accounts Receivable,190
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,191
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,192
7/7/2009,119.78,Boris Becker,Accounts Receivable,193
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,194
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,195
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,196
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,197
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,198
11/4/2009,116.28,Boris Becker,Accounts Receivable,199
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,200
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,201
7/7/2009,119.78,Boris Becker,Accounts Receivable,202
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,203
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,204
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,205
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,206
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,207
11/4/2009,116.28,Boris Becker,Accounts Receivable,208
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,209
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,210
7/7/2009,119.78,Boris Becker,Accounts Receivable,211
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,212
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,213
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,214
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,215
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,216
11/4/2009,116.28,Boris Becker,Accounts Receivable,217
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,218
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,219
7/7/2009,119.78,Boris Becker,Accounts Receivable,220
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,221
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,222
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,223
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,224
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,225
11/4/2009,116.28,Boris Becker,Accounts Receivable,226
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,227
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,228
7/7/2009,119.78,Boris Becker,Accounts Receivable,229
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,230
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,231
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,232
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,233
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,234
11/4/2009,116.28,Boris Becker,Accounts Receivable,235
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,236
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,237
7/7/2009,119.78,Boris Becker,Accounts Receivable,238
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,239
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,240
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,241
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,242
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,243
11/4/2009,116.28,Boris Becker,Accounts Receivable,244
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,245
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,246
7/7/2009,119.78,Boris Becker,Accounts Receivable,247
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,248
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,249
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,250
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,251
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,252
11/4/2009,116.28,Boris Becker,Accounts Receivable,253
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,254
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,255
7/7/2009,119.78,Boris Becker,Accounts Receivable,256
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,257
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,258
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,259
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,260
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,261
11/4/2009,116.28,Boris Becker,Accounts Receivable,262
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,263
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,264
7/7/2009,119.78,Boris Becker,Accounts Receivable,265
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,266
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,267
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,268
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,269
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,270
11/4/2009,116.28,Boris Becker,Accounts Receivable,271
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,272
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,273
7/7/2009,119.78,Boris Becker,Accounts Receivable,274
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,275
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,276
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,277
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,278
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,279
11/4/2009,116.28,Boris Becker,Accounts Receivable,280
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,281
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,282
7/7/2009,119.78,Boris Becker,Accounts Receivable,283
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,284
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,285
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,286
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,287
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,288
11/4/2009,116.28,Boris Becker,Accounts Receivable,289
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,290
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,291
7/7/2009,119.78,Boris Becker,Accounts Receivable,292
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,293
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,294
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,295
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,296
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,297
11/4/2009,116.28,Boris Becker,Accounts Receivable,298
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,299
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,300
7/7/2009,119.78,Boris Becker,Accounts Receivable,301
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,302
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,303
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,304
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,305
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,306
11/4/2009,116.28,Boris Becker,Accounts Receivable,307
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,308
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,309
7/7/2009,119.78,Boris Becker,Accounts Receivable,310
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,311
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,312
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,313
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,314
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,315
11/4/2009,116.28,Boris Becker,Accounts Receivable,316
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,317
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,318
7/7/2009,119.78,Boris Becker,Accounts Receivable,319
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,320
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,321
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,322
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,323
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,324
11/4/2009,116.28,Boris Becker,Accounts Receivable,325
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,326
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,327
7/7/2009,119.78,Boris Becker,Accounts Receivable,328
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,329
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,330
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,331
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,332
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,333
11/4/2009,116.28,Boris Becker,Accounts Receivable,334
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,335
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,336
7/7/2009,119.78,Boris Becker,Accounts Receivable,337
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,338
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,339
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,340
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,341
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,342
11/4/2009,116.28,Boris Becker,Accounts Receivable,343
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,344
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,345
7/7/2009,119.78,Boris Becker,Accounts Receivable,346
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,347
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,348
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,349
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,350
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,351
11/4/2009,116.28,Boris Becker,Accounts Receivable,352
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,353
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,354
7/7/2009,119.78,Boris Becker,Accounts Receivable,355
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,356
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,357
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,358
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,359
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,360
11/4/2009,116.28,Boris Becker,Accounts Receivable,361
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,362
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,363
7/7/2009,119.78,Boris Becker,Accounts Receivable,364
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,365
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,366
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,367
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,368
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,369
11/4/2009,116.28,Boris Becker,Accounts Receivable,370
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,371
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,372
7/7/2009,119.78,Boris Becker,Accounts Receivable,373
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,374
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,375
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,376
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,377
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,378
11/4/2009,116.28,Boris Becker,Accounts Receivable,379
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,380
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,381
7/7/2009,119.78,Boris Becker,Accounts Receivable,382
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,383
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,384
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,385
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,386
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,387
11/4/2009,116.28,Boris Becker,Accounts Receivable,388
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,389
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,390
7/7/2009,119.78,Boris Becker,Accounts Receivable,391
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,392
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,393
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,394
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,395
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,396
11/4/2009,116.28,Boris Becker,Accounts Receivable,397
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,398
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,399
7/7/2009,119.78,Boris Becker,Accounts Receivable,400
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,401
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,402
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,403
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,404
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,405
11/4/2009,116.28,Boris Becker,Accounts Receivable,406
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,407
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,408
7/7/2009,119.78,Boris Becker,Accounts Receivable,409
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,410
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,411
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,412
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,413
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,414
11/4/2009,116.28,Boris Becker,Accounts Receivable,415
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,416
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,417
7/7/2009,119.78,Boris Becker,Accounts Receivable,418
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,419
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,420
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,421
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,422
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,423
11/4/2009,116.28,Boris Becker,Accounts Receivable,424
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,425
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,426
7/7/2009,119.78,Boris Becker,Accounts Receivable,427
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,428
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,429
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,430
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,431
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,432
11/4/2009,116.28,Boris Becker,Accounts Receivable,433
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,434
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,435
7/7/2009,119.78,Boris Becker,Accounts Receivable,436
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,437
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,438
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,439
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,440
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,441
11/4/2009,116.28,Boris Becker,Accounts Receivable,442
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,443
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,444
7/7/2009,119.78,Boris Becker,Accounts Receivable,445
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,446
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,447
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,448
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,449
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,450
11/4/2009,116.28,Boris Becker,Accounts Receivable,451
